x 	 y 	 b 	 n 	 func
 0.200000 	 0.200000 	 0.100000 	 1.000000 	 -0.000000
 0.200000 	 0.200000 	 0.100000 	 7.000000 	 -0.000000
 0.200000 	 0.200000 	 0.100000 	 19.000000 	 -0.000000
 0.200000 	 0.200000 	 0.200000 	 1.000000 	 0.000000
 0.200000 	 0.200000 	 0.200000 	 7.000000 	 0.000000
 0.200000 	 0.200000 	 0.200000 	 19.000000 	 0.000000
 0.200000 	 0.200000 	 0.300000 	 1.000000 	 0.135786
 0.200000 	 0.200000 	 0.300000 	 7.000000 	 0.135756
 0.200000 	 0.200000 	 0.300000 	 19.000000 	 0.135756
 0.200000 	 0.200000 	 0.400000 	 1.000000 	 0.264680
 0.200000 	 0.200000 	 0.400000 	 7.000000 	 0.253716
 0.200000 	 0.200000 	 0.400000 	 19.000000 	 0.253716
 0.200000 	 0.200000 	 0.500000 	 1.000000 	 0.344640
 0.200000 	 0.200000 	 0.500000 	 7.000000 	 0.327500
 0.200000 	 0.200000 	 0.500000 	 19.000000 	 0.327486
 0.200000 	 0.200000 	 0.600000 	 1.000000 	 0.386944
 0.200000 	 0.200000 	 0.600000 	 7.000000 	 0.381799
 0.200000 	 0.200000 	 0.600000 	 19.000000 	 0.381790
 0.200000 	 0.200000 	 0.700000 	 1.000000 	 0.405697
 0.200000 	 0.200000 	 0.700000 	 7.000000 	 0.429136
 0.200000 	 0.200000 	 0.700000 	 19.000000 	 0.429485
 0.200000 	 0.200000 	 0.800000 	 1.000000 	 0.410489
 0.200000 	 0.200000 	 0.800000 	 7.000000 	 0.474394
 0.200000 	 0.200000 	 0.800000 	 19.000000 	 0.475282
 0.200000 	 0.200000 	 0.900000 	 1.000000 	 0.407177
 0.200000 	 0.200000 	 0.900000 	 7.000000 	 0.520229
 0.200000 	 0.200000 	 0.900000 	 19.000000 	 0.520823
 0.200000 	 0.200000 	 1.000000 	 1.000000 	 0.399258
 0.200000 	 0.200000 	 1.000000 	 7.000000 	 0.568226
 0.200000 	 0.200000 	 1.000000 	 19.000000 	 0.566663
 0.200000 	 0.200000 	 1.100000 	 1.000000 	 0.388822
 0.200000 	 0.200000 	 1.100000 	 7.000000 	 0.618918
 0.200000 	 0.200000 	 1.100000 	 19.000000 	 0.612966
 0.200000 	 0.290909 	 0.100000 	 1.000000 	 0.000670
