x 	 y 	 b 	 n 	 func
 0.200000 	 0.200000 	 1.000000 	 1.000000 	 0.399258
 0.200000 	 0.200000 	 1.000000 	 7.000000 	 0.568226
 0.200000 	 0.200000 	 1.000000 	 19.000000 	 0.566663
 0.200000 	 0.200000 	 1.100000 	 1.000000 	 0.388822
 0.200000 	 0.200000 	 1.100000 	 7.000000 	 0.618918
 0.200000 	 0.200000 	 1.100000 	 19.000000 	 0.612966
 0.200000 	 0.200000 	 1.200000 	 1.000000 	 0.377124
 0.200000 	 0.200000 	 1.200000 	 7.000000 	 0.671948
 0.200000 	 0.200000 	 1.200000 	 19.000000 	 0.659758
 0.200000 	 0.200000 	 1.300000 	 1.000000 	 0.364922
 0.200000 	 0.200000 	 1.300000 	 7.000000 	 0.726411
 0.200000 	 0.200000 	 1.300000 	 19.000000 	 0.706996
 0.200000 	 0.200000 	 1.400000 	 1.000000 	 0.352673
 0.200000 	 0.200000 	 1.400000 	 7.000000 	 0.781187
 0.200000 	 0.200000 	 1.400000 	 19.000000 	 0.754588
 0.200000 	 0.200000 	 1.500000 	 1.000000 	 0.340649
 0.200000 	 0.200000 	 1.500000 	 7.000000 	 0.835180
 0.200000 	 0.200000 	 1.500000 	 19.000000 	 0.802419
 0.200000 	 0.200000 	 1.600000 	 1.000000 	 0.329005
 0.200000 	 0.200000 	 1.600000 	 7.000000 	 0.887451
 0.200000 	 0.200000 	 1.600000 	 19.000000 	 0.850392
 0.200000 	 0.200000 	 1.700000 	 1.000000 	 0.317829
 0.200000 	 0.200000 	 1.700000 	 7.000000 	 0.937268
 0.200000 	 0.200000 	 1.700000 	 19.000000 	 0.898461
 0.200000 	 0.200000 	 1.800000 	 1.000000 	 0.307160
 0.200000 	 0.200000 	 1.800000 	 7.000000 	 0.984107
 0.200000 	 0.200000 	 1.800000 	 19.000000 	 0.946652
 0.200000 	 0.200000 	 1.900000 	 1.000000 	 0.297011
 0.200000 	 0.200000 	 1.900000 	 7.000000 	 1.027635
 0.200000 	 0.200000 	 1.900000 	 19.000000 	 0.995055
 0.200000 	 0.200000 	 2.000000 	 1.000000 	 0.287379
 0.200000 	 0.200000 	 2.000000 	 7.000000 	 1.067675
 0.200000 	 0.200000 	 2.000000 	 19.000000 	 1.043809
 0.200000 	 0.290909 	 1.000000 	 1.000000 	 0.537906
 0.200000 	 0.290909 	 1.000000 	 7.000000 	 0.560484
 0.200000 	 0.290909 	 1.000000 	 19.000000 	 0.563754
 0.200000 	 0.290909 	 1.100000 	 1.000000 	 0.531115
 0.200000 	 0.290909 	 1.100000 	 7.000000 	 0.597195
 0.200000 	 0.290909 	 1.100000 	 19.000000 	 0.604101
 0.200000 	 0.290909 	 1.200000 	 1.000000 	 0.520491
 0.200000 	 0.290909 	 1.200000 	 7.000000 	 0.636557
 0.200000 	 0.290909 	 1.200000 	 19.000000 	 0.645244
 0.200000 	 0.290909 	 1.300000 	 1.000000 	 0.507677
 0.200000 	 0.290909 	 1.300000 	 7.000000 	 0.680402
 0.200000 	 0.290909 	 1.300000 	 19.000000 	 0.687079
 0.200000 	 0.290909 	 1.400000 	 1.000000 	 0.493722
 0.200000 	 0.290909 	 1.400000 	 7.000000 	 0.729470
 0.200000 	 0.290909 	 1.400000 	 19.000000 	 0.729520
 0.200000 	 0.290909 	 1.500000 	 1.000000 	 0.479290
 0.200000 	 0.290909 	 1.500000 	 7.000000 	 0.783503
 0.200000 	 0.290909 	 1.500000 	 19.000000 	 0.772573
 0.200000 	 0.290909 	 1.600000 	 1.000000 	 0.464806
 0.200000 	 0.290909 	 1.600000 	 7.000000 	 0.841570
 0.200000 	 0.290909 	 1.600000 	 19.000000 	 0.816284
 0.200000 	 0.290909 	 1.700000 	 1.000000 	 0.450535
 0.200000 	 0.290909 	 1.700000 	 7.000000 	 0.902402
 0.200000 	 0.290909 	 1.700000 	 19.000000 	 0.860633
 0.200000 	 0.290909 	 1.800000 	 1.000000 	 0.436641
 0.200000 	 0.290909 	 1.800000 	 7.000000 	 0.964653
 0.200000 	 0.290909 	 1.800000 	 19.000000 	 0.905463
 0.200000 	 0.290909 	 1.900000 	 1.000000 	 0.423221
 0.200000 	 0.290909 	 1.900000 	 7.000000 	 1.027063
 0.200000 	 0.290909 	 1.900000 	 19.000000 	 0.950494
 0.200000 	 0.290909 	 2.000000 	 1.000000 	 0.410326
 0.200000 	 0.290909 	 2.000000 	 7.000000 	 1.088547
 0.200000 	 0.290909 	 2.000000 	 19.000000 	 0.995402
 0.200000 	 0.381818 	 1.000000 	 1.000000 	 0.632976
 0.200000 	 0.381818 	 1.000000 	 7.000000 	 0.545587
 0.200000 	 0.381818 	 1.000000 	 19.000000 	 0.541951
 0.200000 	 0.381818 	 1.100000 	 1.000000 	 0.637807
 0.200000 	 0.381818 	 1.100000 	 7.000000 	 0.576829
 0.200000 	 0.381818 	 1.100000 	 19.000000 	 0.573325
 0.200000 	 0.381818 	 1.200000 	 1.000000 	 0.634514
 0.200000 	 0.381818 	 1.200000 	 7.000000 	 0.604407
