x 	 y 	 b 	 n 	 func
 0.200000 	 0.010000 	 1.000000 	 1.000000 	 0.021336
 0.200000 	 0.010000 	 1.000000 	 7.000000 	 0.029610
 0.200000 	 0.010000 	 1.000000 	 19.000000 	 0.029802
 0.200000 	 0.010000 	 1.055000 	 1.000000 	 0.020897
 0.200000 	 0.010000 	 1.055000 	 7.000000 	 0.029745
 0.200000 	 0.010000 	 1.055000 	 19.000000 	 0.029997
 0.200000 	 0.010000 	 1.110000 	 1.000000 	 0.020457
 0.200000 	 0.010000 	 1.110000 	 7.000000 	 0.029844
 0.200000 	 0.010000 	 1.110000 	 19.000000 	 0.030166
 0.200000 	 0.010000 	 1.165000 	 1.000000 	 0.020020
 0.200000 	 0.010000 	 1.165000 	 7.000000 	 0.029911
 0.200000 	 0.010000 	 1.165000 	 19.000000 	 0.030311
 0.200000 	 0.010000 	 1.220000 	 1.000000 	 0.019588
 0.200000 	 0.010000 	 1.220000 	 7.000000 	 0.029951
 0.200000 	 0.010000 	 1.220000 	 19.000000 	 0.030439
 0.200000 	 0.010000 	 1.275000 	 1.000000 	 0.019164
 0.200000 	 0.010000 	 1.275000 	 7.000000 	 0.029965
 0.200000 	 0.010000 	 1.275000 	 19.000000 	 0.030550
 0.200000 	 0.010000 	 1.330000 	 1.000000 	 0.018750
 0.200000 	 0.010000 	 1.330000 	 7.000000 	 0.029957
 0.200000 	 0.010000 	 1.330000 	 19.000000 	 0.030648
 0.200000 	 0.010000 	 1.385000 	 1.000000 	 0.018346
 0.200000 	 0.010000 	 1.385000 	 7.000000 	 0.029930
 0.200000 	 0.010000 	 1.385000 	 19.000000 	 0.030735
 0.200000 	 0.010000 	 1.440000 	 1.000000 	 0.017954
 0.200000 	 0.010000 	 1.440000 	 7.000000 	 0.029885
 0.200000 	 0.010000 	 1.440000 	 19.000000 	 0.030812
 0.200000 	 0.010000 	 1.495000 	 1.000000 	 0.017574
 0.200000 	 0.010000 	 1.495000 	 7.000000 	 0.029824
 0.200000 	 0.010000 	 1.495000 	 19.000000 	 0.030880
 0.200000 	 0.010000 	 1.550000 	 1.000000 	 0.017205
 0.200000 	 0.010000 	 1.550000 	 7.000000 	 0.029749
 0.200000 	 0.010000 	 1.550000 	 19.000000 	 0.030940
 0.200000 	 0.010000 	 1.605000 	 1.000000 	 0.016848
 0.200000 	 0.010000 	 1.605000 	 7.000000 	 0.029662
 0.200000 	 0.010000 	 1.605000 	 19.000000 	 0.030994
 0.200000 	 0.010000 	 1.660000 	 1.000000 	 0.016502
 0.200000 	 0.010000 	 1.660000 	 7.000000 	 0.029563
 0.200000 	 0.010000 	 1.660000 	 19.000000 	 0.031041
 0.200000 	 0.010000 	 1.715000 	 1.000000 	 0.016168
 0.200000 	 0.010000 	 1.715000 	 7.000000 	 0.029454
 0.200000 	 0.010000 	 1.715000 	 19.000000 	 0.031084
 0.200000 	 0.010000 	 1.770000 	 1.000000 	 0.015845
 0.200000 	 0.010000 	 1.770000 	 7.000000 	 0.029336
 0.200000 	 0.010000 	 1.770000 	 19.000000 	 0.031121
 0.200000 	 0.010000 	 1.825000 	 1.000000 	 0.015533
 0.200000 	 0.010000 	 1.825000 	 7.000000 	 0.029210
 0.200000 	 0.010000 	 1.825000 	 19.000000 	 0.031153
 0.200000 	 0.010000 	 1.880000 	 1.000000 	 0.015231
 0.200000 	 0.010000 	 1.880000 	 7.000000 	 0.029077
 0.200000 	 0.010000 	 1.880000 	 19.000000 	 0.031181
 0.200000 	 0.010000 	 1.935000 	 1.000000 	 0.014940
 0.200000 	 0.010000 	 1.935000 	 7.000000 	 0.028937
 0.200000 	 0.010000 	 1.935000 	 19.000000 	 0.031206
 0.200000 	 0.010000 	 1.990000 	 1.000000 	 0.014658
 0.200000 	 0.010000 	 1.990000 	 7.000000 	 0.028792
 0.200000 	 0.010000 	 1.990000 	 19.000000 	 0.031226
 0.200000 	 0.010000 	 2.045000 	 1.000000 	 0.014385
 0.200000 	 0.010000 	 2.045000 	 7.000000 	 0.028641
 0.200000 	 0.010000 	 2.045000 	 19.000000 	 0.031243
 0.200000 	 0.060000 	 1.000000 	 1.000000 	 0.127280
 0.200000 	 0.060000 	 1.000000 	 7.000000 	 0.172879
 0.200000 	 0.060000 	 1.000000 	 19.000000 	 0.173491
 0.200000 	 0.060000 	 1.055000 	 1.000000 	 0.124737
 0.200000 	 0.060000 	 1.055000 	 7.000000 	 0.173817
 0.200000 	 0.060000 	 1.055000 	 19.000000 	 0.174670
 0.200000 	 0.060000 	 1.110000 	 1.000000 	 0.122170
 0.200000 	 0.060000 	 1.110000 	 7.000000 	 0.174540
 0.200000 	 0.060000 	 1.110000 	 19.000000 	 0.175686
 0.200000 	 0.060000 	 1.165000 	 1.000000 	 0.119608
 0.200000 	 0.060000 	 1.165000 	 7.000000 	 0.175076
 0.200000 	 0.060000 	 1.165000 	 19.000000 	 0.176568
